[2026-01-14 20:33:08.681] [INFO] Progress: 395.0s/500s, 4868 frames, 4868 written, 0 switches
[2026-01-14 20:33:13.724] [INFO] Progress: 400.1s/500s, 4946 frames, 4946 written, 0 switches
[2026-01-14 20:33:18.764] [INFO] Progress: 405.1s/500s, 5036 frames, 5036 written, 0 switches
[2026-01-14 20:33:23.810] [INFO] Progress: 410.1s/500s, 5108 frames, 5108 written, 0 switches
[2026-01-14 20:33:28.845] [INFO] Progress: 415.2s/500s, 5193 frames, 5193 written, 0 switches
[2026-01-14 20:33:33.886] [INFO] Progress: 420.2s/500s, 5283 frames, 5283 written, 0 switches
[2026-01-14 20:33:38.915] [INFO] Progress: 425.3s/500s, 5347 frames, 5347 written, 0 switches
[2026-01-14 20:33:43.946] [INFO] Progress: 430.3s/500s, 5434 frames, 5434 written, 0 switches
[2026-01-14 20:33:49.045] [INFO] Progress: 435.3s/500s, 5520 frames, 5520 written, 0 switches
[2026-01-14 20:33:54.099] [INFO] Progress: 440.4s/500s, 5583 frames, 5583 written, 0 switches
[2026-01-14 20:33:59.117] [INFO] Progress: 445.5s/500s, 5667 frames, 5667 written, 0 switches
[2026-01-14 20:34:04.134] [INFO] Progress: 450.4s/500s, 5743 frames, 5743 written, 0 switches
[2026-01-14 20:34:09.136] [INFO] Progress: 455.5s/500s, 5812 frames, 5812 written, 0 switches
[2026-01-14 20:34:14.153] [INFO] Progress: 460.5s/500s, 5896 frames, 5896 written, 0 switches
[2026-01-14 20:34:19.219] [INFO] Progress: 465.5s/500s, 5964 frames, 5964 written, 0 switches
[2026-01-14 20:34:24.259] [INFO] Progress: 470.6s/500s, 6043 frames, 6043 written, 0 switches
[2026-01-14 20:34:29.287] [INFO] Progress: 475.6s/500s, 6128 frames, 6128 written, 0 switches
[2026-01-14 20:34:34.305] [INFO] Progress: 480.6s/500s, 6190 frames, 6190 written, 0 switches
[2026-01-14 20:34:39.325] [INFO] Progress: 485.7s/500s, 6276 frames, 6276 written, 0 switches
[2026-01-14 20:34:44.357] [INFO] Progress: 490.7s/500s, 6363 frames, 6363 written, 0 switches
[2026-01-14 20:34:49.408] [INFO] Progress: 495.7s/500s, 6427 frames, 6427 written, 0 switches
[2026-01-14 20:34:53.646] [INFO] Reached MAX_DUR limit: 500s
[2026-01-14 20:34:53.653] [INFO] Highlight generation complete: 6500 frames in 500.0s
[2026-01-14 20:34:53.654] [INFO] Results: switches=0, errors=9877
